task_id,title,description,created_at,due_date,estimated_hours,actual_hours,assigned_user,status,task_type,priority,priority_score,tags,user_workload_hours,days_until_due,is_overdue
TASK-1229,Update refactor documentation for analytics/schema,"This task involves writing an API change related to analytics. Expected steps: design, implementation.",2025-08-30 15:00:27,2025-09-19 15:00:27,28.9,22.7,user_30,in_progress,feature,high,40.3,"api,backend,ci",33.7,20,1
TASK-1230,Refactor refactor in reports/search ranking,"This task involves writing performance improvement related to reports. Expected steps: analysis, design, implementation, testing.",2025-09-09 06:43:58,2025-09-10 06:43:58,15.9,19.1,user_2,open,feature,high,45.1,"research,bugfix,frontend",41.4,1,1
TASK-1231,Write bug for API/ETL,"This task involves writing performance improvement related to API. Expected steps: analysis, design, implementation, testing.",2025-09-12 01:57:56,2025-10-04 01:57:56,29.8,23.3,,in_progress,research,high,32.9,"research,frontend,db",23.3,22,1
TASK-1232,Update bug documentation for notifications/ETL,"This task involves fixing documentation related to notifications. Expected steps: design, implementation.",2025-09-12 05:10:18,2025-10-07 05:10:18,34.6,36.8,user_8,done,documentation,high,34.2,"ci,docs,security",17.7,25,1
TASK-1233,Implement feature for payment/dashboard feature,"This task involves updating an API change related to payment. Expected steps: analysis, design, implementation, testing.",2025-09-04 21:57:00,2025-09-18 21:57:00,11.9,12.1,user_6,in_progress,documentation,high,34.91,"bugfix,frontend",9.2,14,1
TASK-1234,Write refactor for reports/login flow,"This task involves updating documentation related to reports. Expected steps: write tests, refactor, deploy.",2025-09-17 07:06:04,2025-10-05 07:06:04,15.0,12.1,user_11,in_progress,feature,high,30.1,"bugfix,db,security",5.5,18,1
TASK-1235,Implement doc update for API/email flow feature,"This task involves writing documentation related to API. Expected steps: design, implementation.",2025-09-22 02:35:21,2025-10-12 02:35:21,21.7,35.7,,blocked,bug,high,25.91,"perf,docs",54.3,20,1
TASK-1236,Refactor bug in reports/endpoint,"This task involves updating documentation related to reports. Expected steps: write tests, refactor, deploy.",2025-09-21 01:50:19,2025-09-25 01:50:19,16.0,19.0,user_10,open,research,high,36.81,"security,ci",26.7,4,1
TASK-1237,Fix doc update in database/endpoint module,"This task involves refactoring a bug related to database. Expected steps: analysis, design, implementation, testing.",2025-08-29 14:53:30,2025-09-23 14:53:30,22.0,8.6,user_3,open,feature,high,38.72,"backend,docs",32.3,25,1
TASK-1238,Update feature documentation for search/checkout,"This task involves fixing performance improvement related to search. Expected steps: investigation, fix, release.",2025-08-25 17:38:44,2025-08-28 17:38:44,3.1,3.3,user_18,open,feature,high,48.17,"db,perf",37.8,3,1
TASK-1239,Research optimization for notifications/login flow improvement,"This task involves updating a bug related to notifications. Expected steps: analysis, design, implementation, testing.",2025-09-12 20:11:30,2025-10-02 20:11:30,3.5,2.8,user_2,in_progress,bug,high,27.99,"backend,research,security",36.4,20,1
TASK-1240,Write optimization for profile/search ranking,"This task involves updating a bug related to profile. Expected steps: write tests, refactor, deploy.",2025-08-29 06:55:13,2025-09-06 06:55:13,6.3,7.9,user_26,blocked,documentation,high,45.06,research,40.6,8,1
TASK-1241,Update refactor documentation for notifications/login flow,"This task involves refactoring a new feature related to notifications. Expected steps: analysis, design, implementation, testing.",2025-08-25 20:26:38,2025-09-13 20:26:38,24.3,18.5,user_3,open,documentation,high,40.92,"security,bugfix,ci",11.0,19,1
TASK-1242,Refactor bug in database/endpoint,"This task involves implementing an API change related to database. Expected steps: analysis, design, implementation, testing.",2025-09-19 03:21:59,2025-10-19 03:21:59,39.6,38.2,user_21,in_progress,documentation,high,28.78,"backend,docs",43.5,30,1
TASK-1243,Research feature for notifications/email flow improvement,"This task involves updating a new feature related to notifications. Expected steps: analysis, design, implementation, testing.",2025-09-02 03:39:58,2025-09-05 03:39:58,36.1,41.6,user_15,open,documentation,high,50.19,ci,34.0,3,1
TASK-1244,Write bug for search/dashboard,"This task involves writing a new feature related to search. Expected steps: design, implementation.",2025-09-14 23:09:02,2025-10-05 23:09:02,18.0,22.7,user_5,in_progress,documentation,high,31.99,"perf,api",46.5,21,1
TASK-1245,Research feature for analytics/checkout improvement,"This task involves updating an API change related to analytics. Expected steps: analysis, design, implementation, testing.",2025-09-18 20:27:30,2025-10-16 20:27:30,33.2,21.2,,open,bug,high,28.78,security,37.9,28,1
TASK-1246,Refactor refactor in reports/search ranking,"This task involves implementing a bug related to reports. Expected steps: investigation, fix, release.",2025-09-09 21:39:55,2025-09-27 21:39:55,19.4,17.5,user_12,open,research,high,35.55,"bugfix,perf",30.1,18,1
TASK-1247,Fix refactor in search/email flow module,"This task involves fixing a new feature related to search. Expected steps: design, implementation.",2025-09-16 07:33:20,2025-09-21 07:33:20,18.4,15.8,user_19,in_progress,feature,high,38.86,"api,frontend",13.1,5,1
TASK-1248,Research doc update for API/checkout improvement,"This task involves writing a new feature related to API. Expected steps: analysis, design, implementation, testing.",2025-09-13 15:44:56,2025-09-30 15:44:56,36.4,29.3,user_16,done,bug,high,33.98,"api,backend,research",50.1,17,1
TASK-1249,Write refactor for reports/ETL,"This task involves implementing performance improvement related to reports. Expected steps: write tests, refactor, deploy.",2025-09-04 13:22:52,2025-09-25 13:22:52,36.0,55.1,user_9,open,feature,high,39.28,"api,perf",47.6,21,1
TASK-1250,Refactor feature in auth/ETL,"This task involves researching a new feature related to auth. Expected steps: design, implementation.",2025-08-26 21:52:15,2025-09-16 21:52:15,12.0,13.5,user_6,open,bug,high,39.21,"api,backend",28.9,21,1
TASK-1251,Research refactor for profile/endpoint improvement,"This task involves implementing performance improvement related to profile. Expected steps: analysis, design, implementation, testing.",2025-08-31 21:48:36,2025-09-05 21:48:36,23.4,14.5,user_21,in_progress,research,high,44.41,research,55.3,5,1
TASK-1252,Refactor refactor in search/reporting,"This task involves updating a bug related to search. Expected steps: investigation, fix, release.",2025-09-22 00:23:24,2025-09-29 00:23:24,18.5,23.6,,done,feature,high,32.3,"ci,bugfix",47.7,7,1
TASK-1253,Implement doc update for reports/ETL feature,"This task involves implementing documentation related to reports. Expected steps: write tests, refactor, deploy.",2025-09-11 11:52:17,2025-09-14 11:52:17,10.0,16.4,user_4,open,research,high,41.3,"db,bugfix,backend",10.6,3,1
TASK-1254,Refactor refactor in reports/login flow,"This task involves refactoring a bug related to reports. Expected steps: analysis, design, implementation, testing.",2025-09-08 01:34:51,2025-09-13 01:34:51,36.2,47.4,user_1,done,maintenance,high,45.35,"frontend,security",25.7,5,1
TASK-1255,Research refactor for search/email flow improvement,"This task involves updating an API change related to search. Expected steps: analysis, design, implementation, testing.",2025-09-06 08:43:11,2025-09-15 08:43:11,19.6,10.7,user_28,open,research,high,42.8,"research,docs",0.3,9,1
TASK-1256,Update refactor documentation for auth/reporting,"This task involves fixing an API change related to auth. Expected steps: analysis, design, implementation, testing.",2025-09-04 20:23:20,2025-09-11 20:23:20,27.8,23.8,user_12,open,maintenance,high,44.82,"research,security",25.4,7,1
TASK-1257,Write optimization for reports/schema,"This task involves implementing performance improvement related to reports. Expected steps: write tests, refactor, deploy.",2025-08-29 23:02:43,2025-09-16 23:02:43,22.6,31.2,user_10,in_progress,maintenance,high,41.7,"backend,docs,perf",47.0,18,1
TASK-1258,Implement refactor for payment/endpoint feature,"This task involves researching documentation related to payment. Expected steps: analysis, design, implementation, testing.",2025-08-29 10:05:55,2025-09-19 10:05:55,1.2,0.9,user_5,in_progress,research,high,34.92,research,13.3,21,1
TASK-1259,Fix optimization in reports/login flow module,"This task involves researching an API change related to reports. Expected steps: investigation, fix, release.",2025-09-14 22:43:25,2025-10-04 22:43:25,3.2,3.6,user_6,in_progress,maintenance,high,25.19,"security,research,docs",2.0,20,1
TASK-1260,Refactor feature in analytics/ETL,"This task involves refactoring a new feature related to analytics. Expected steps: analysis, design, implementation, testing.",2025-09-04 09:22:48,2025-09-25 09:22:48,1.0,1.2,user_9,blocked,documentation,high,33.05,"ci,docs",31.1,21,1
TASK-1261,Update refactor documentation for payment/checkout,"This task involves writing an API change related to payment. Expected steps: investigation, fix, release.",2025-09-04 00:32:58,2025-10-01 00:32:58,11.8,8.5,user_7,in_progress,maintenance,high,31.73,"bugfix,db",30.4,27,1
TASK-1262,Refactor doc update in payment/ETL,"This task involves writing a bug related to payment. Expected steps: investigation, fix, release.",2025-09-19 21:10:07,2025-10-16 21:10:07,31.9,31.3,user_15,done,research,high,27.3,api,57.7,27,1
TASK-1263,Research bug for profile/reporting improvement,"This task involves researching a bug related to profile. Expected steps: investigation, fix, release.",2025-08-26 15:00:23,2025-09-16 15:00:23,31.8,0.9,user_23,open,documentation,high,41.92,"security,ci",0.6,21,1
TASK-1264,Write bug for API/schema,"This task involves researching documentation related to API. Expected steps: analysis, design, implementation, testing.",2025-09-10 05:38:40,2025-09-16 05:38:40,19.6,13.6,user_29,in_progress,feature,high,42.66,"docs,perf,ci",14.1,6,1
TASK-1265,Implement feature for database/endpoint feature,"This task involves implementing a new feature related to database. Expected steps: investigation, fix, release.",2025-08-29 06:41:03,2025-09-02 06:41:03,5.7,5.3,user_22,in_progress,bug,high,45.96,"frontend,perf,api",37.2,4,1
TASK-1266,Research optimization for reports/schema improvement,"This task involves implementing an API change related to reports. Expected steps: investigation, fix, release.",2025-09-05 12:50:26,2025-09-30 12:50:26,23.5,14.7,user_26,in_progress,research,high,31.86,"db,bugfix",27.4,25,1
TASK-1267,Fix doc update in analytics/user profile module,"This task involves updating a bug related to analytics. Expected steps: analysis, design, implementation, testing.",2025-09-13 19:43:17,2025-09-26 19:43:17,23.7,35.3,user_20,done,feature,high,35.98,research,28.3,13,1
TASK-1268,Refactor feature in notifications/email flow,"This task involves researching performance improvement related to notifications. Expected steps: design, implementation.",2025-09-06 04:06:51,2025-10-01 04:06:51,15.5,8.8,,open,feature,high,32.46,"docs,backend,research",48.2,25,1
TASK-1269,Refactor feature in search/search ranking,"This task involves implementing a new feature related to search. Expected steps: write tests, refactor, deploy.",2025-09-17 18:26:55,2025-09-23 18:26:55,17.4,15.1,user_29,blocked,research,high,36.15,"perf,research",15.1,6,1
TASK-1270,Refactor bug in auth/search ranking,"This task involves updating a new feature related to auth. Expected steps: analysis, design, implementation, testing.",2025-08-31 01:30:14,2025-09-09 01:30:14,19.6,20.4,user_15,in_progress,documentation,high,43.22,"security,research,api",1.2,9,1
TASK-1271,Fix feature in notifications/reporting module,"This task involves refactoring an API change related to notifications. Expected steps: design, implementation.",2025-09-22 23:30:57,2025-10-02 23:30:57,14.8,21.2,user_16,blocked,maintenance,high,32.91,"ci,research",27.8,10,1
TASK-1272,Implement optimization for UI/email flow feature,"This task involves updating an API change related to UI. Expected steps: write tests, refactor, deploy.",2025-09-19 01:34:33,2025-09-22 01:34:33,4.1,2.3,user_11,open,documentation,high,35.37,"db,research,perf",46.9,3,1
TASK-1273,Write optimization for reports/ETL,"This task involves researching a new feature related to reports. Expected steps: design, implementation.",2025-09-19 05:23:59,2025-09-24 05:23:59,29.4,39.7,user_24,in_progress,bug,high,36.93,"backend,ci",3.8,5,1
TASK-1274,Research bug for analytics/login flow improvement,"This task involves researching an API change related to analytics. Expected steps: analysis, design, implementation, testing.",2025-08-27 17:11:45,2025-09-16 17:11:45,7.1,7.1,user_29,open,feature,high,36.16,"perf,bugfix",7.9,20,1
TASK-1275,Implement doc update for auth/login flow feature,"This task involves writing performance improvement related to auth. Expected steps: write tests, refactor, deploy.",2025-09-22 20:21:14,2025-10-10 20:21:14,37.5,26.5,user_5,done,research,high,29.89,"perf,db,research",54.5,18,1
TASK-1276,Research bug for analytics/endpoint improvement,"This task involves researching documentation related to analytics. Expected steps: investigation, fix, release.",2025-09-05 23:09:15,2025-09-10 23:09:15,12.8,14.6,user_27,blocked,feature,high,40.78,"security,frontend",41.3,5,1
TASK-1277,Research bug for profile/schema improvement,"This task involves researching documentation related to profile. Expected steps: design, implementation.",2025-09-17 12:02:23,2025-10-05 12:02:23,15.6,16.5,user_18,in_progress,feature,high,28.44,"db,ci,docs",15.8,18,1
TASK-1278,Research refactor for API/ETL improvement,"This task involves updating documentation related to API. Expected steps: investigation, fix, release.",2025-09-13 01:15:23,2025-10-01 01:15:23,32.5,26.6,user_28,open,feature,high,34.45,"perf,ci,research",42.0,18,1
TASK-1279,Research bug for API/email flow improvement,"This task involves implementing a bug related to API. Expected steps: analysis, design, implementation, testing.",2025-08-30 04:14:33,2025-09-03 04:14:33,12.0,12.3,user_15,in_progress,feature,high,43.35,perf,13.0,4,1
TASK-1280,Research doc update for database/user profile improvement,"This task involves researching a bug related to database. Expected steps: investigation, fix, release.",2025-08-27 00:07:41,2025-09-21 00:07:41,38.1,33.7,user_25,open,research,high,41.47,research,49.0,25,1
TASK-1281,Fix optimization in payment/endpoint module,"This task involves researching a new feature related to payment. Expected steps: analysis, design, implementation, testing.",2025-08-30 13:46:37,2025-09-23 13:46:37,31.1,32.2,user_7,in_progress,documentation,high,41.4,frontend,44.7,24,1
TASK-1282,Refactor doc update in analytics/checkout,"This task involves researching documentation related to analytics. Expected steps: design, implementation.",2025-09-04 09:52:28,2025-09-06 09:52:28,34.7,41.6,user_4,open,maintenance,high,47.56,research,35.1,2,1
TASK-1283,Research bug for API/login flow improvement,"This task involves refactoring performance improvement related to API. Expected steps: design, implementation.",2025-09-04 17:46:28,2025-09-07 17:46:28,10.7,15.8,user_22,in_progress,bug,high,40.44,"bugfix,security,backend",7.5,3,1
TASK-1284,Implement doc update for notifications/ETL feature,"This task involves researching a new feature related to notifications. Expected steps: analysis, design, implementation, testing.",2025-09-14 06:37:38,2025-09-26 06:37:38,29.3,18.4,user_2,in_progress,maintenance,high,37.66,"perf,docs,bugfix",32.6,12,1
TASK-1285,Write refactor for profile/schema,"This task involves refactoring a new feature related to profile. Expected steps: analysis, design, implementation, testing.",2025-09-09 12:47:10,2025-09-24 12:47:10,12.5,20.5,user_12,in_progress,research,high,34.4,frontend,37.2,15,1
TASK-1286,Write doc update for reports/endpoint,"This task involves updating a bug related to reports. Expected steps: write tests, refactor, deploy.",2025-08-30 07:04:24,2025-09-21 07:04:24,20.4,8.5,user_20,open,maintenance,high,38.78,backend,31.4,22,1
TASK-1287,Fix feature in auth/dashboard module,"This task involves fixing a new feature related to auth. Expected steps: analysis, design, implementation, testing.",2025-09-08 03:50:02,2025-09-12 03:50:02,2.2,2.1,user_13,in_progress,research,high,39.56,"research,frontend,api",13.2,4,1
TASK-1288,Update feature documentation for payment/login flow,"This task involves updating performance improvement related to payment. Expected steps: analysis, design, implementation, testing.",2025-09-07 15:22:12,2025-09-28 15:22:12,3.4,4.0,user_29,in_progress,documentation,high,32.15,ci,15.9,21,1
TASK-1289,Fix bug in payment/schema module,"This task involves implementing an API change related to payment. Expected steps: analysis, design, implementation, testing.",2025-08-27 15:14:58,2025-09-04 15:14:58,21.7,23.5,user_17,in_progress,research,high,46.97,security,45.0,8,1
TASK-1290,Research doc update for payment/reporting improvement,"This task involves updating performance improvement related to payment. Expected steps: write tests, refactor, deploy.",2025-09-20 02:00:02,2025-09-26 02:00:02,31.9,25.9,user_17,open,feature,high,38.05,"perf,api,security",33.0,6,1
TASK-1291,Write optimization for notifications/search ranking,"This task involves updating documentation related to notifications. Expected steps: design, implementation.",2025-09-10 11:49:53,2025-09-17 11:49:53,15.6,14.6,user_24,open,maintenance,high,38.86,"frontend,ci",59.0,7,1
TASK-1292,Refactor feature in auth/ETL,"This task involves writing a bug related to auth. Expected steps: investigation, fix, release.",2025-09-23 03:07:53,2025-09-30 03:07:53,34.4,29.3,user_27,done,documentation,high,38.48,"security,bugfix,backend",2.3,7,1
TASK-1293,Write doc update for UI/dashboard,"This task involves writing an API change related to UI. Expected steps: design, implementation.",2025-08-31 14:07:23,2025-09-26 14:07:23,12.7,10.5,user_19,done,bug,high,35.16,"bugfix,perf",49.5,26,1
TASK-1294,Update refactor documentation for reports/checkout,"This task involves updating documentation related to reports. Expected steps: analysis, design, implementation, testing.",2025-09-15 12:32:08,2025-10-04 12:32:08,15.9,20.0,user_30,blocked,documentation,high,32.58,"db,backend",52.2,19,1
TASK-1295,Implement optimization for reports/login flow feature,"This task involves fixing documentation related to reports. Expected steps: analysis, design, implementation, testing.",2025-09-03 04:16:31,2025-09-22 04:16:31,6.8,7.5,user_8,open,maintenance,high,37.22,"ci,security,backend",13.3,19,1
TASK-1296,Write feature for search/dashboard,"This task involves writing a bug related to search. Expected steps: write tests, refactor, deploy.",2025-09-10 17:48:16,2025-09-12 17:48:16,22.4,17.7,user_13,in_progress,feature,high,43.79,"security,docs",29.3,2,1
TASK-1297,Update refactor documentation for reports/endpoint,"This task involves refactoring an API change related to reports. Expected steps: design, implementation.",2025-08-31 20:50:03,2025-09-09 20:50:03,31.3,39.7,user_30,in_progress,bug,high,46.62,"api,ci",11.4,9,1
TASK-1298,Write doc update for reports/login flow,"This task involves implementing documentation related to reports. Expected steps: write tests, refactor, deploy.",2025-09-12 07:03:30,2025-09-27 07:03:30,2.8,3.1,user_7,in_progress,feature,high,32.85,backend,44.4,15,1
TASK-1299,Implement doc update for reports/dashboard feature,"This task involves fixing documentation related to reports. Expected steps: analysis, design, implementation, testing.",2025-09-02 18:03:08,2025-09-18 18:03:08,1.9,2.4,user_18,open,research,high,35.5,"security,perf",37.4,16,1
TASK-1300,Implement refactor for auth/search ranking feature,"This task involves updating an API change related to auth. Expected steps: analysis, design, implementation, testing.",2025-09-01 06:17:45,2025-09-03 06:17:45,12.1,14.4,user_20,open,maintenance,high,46.19,backend,23.3,2,1
TASK-1301,Write bug for notifications/checkout,"This task involves writing performance improvement related to notifications. Expected steps: design, implementation.",2025-09-22 23:49:05,2025-10-09 23:49:05,39.1,29.4,user_11,in_progress,research,high,32.48,docs,30.0,17,1
TASK-1302,Research bug for analytics/login flow improvement,"This task involves implementing an API change related to analytics. Expected steps: investigation, fix, release.",2025-09-03 14:32:15,2025-09-16 14:32:15,30.0,25.0,user_22,open,documentation,high,40.68,"research,frontend,ci",52.7,13,1
TASK-1303,Fix feature in analytics/schema module,"This task involves implementing documentation related to analytics. Expected steps: write tests, refactor, deploy.",2025-09-13 07:21:29,2025-09-16 07:21:29,29.5,36.1,user_22,in_progress,feature,high,41.99,"bugfix,db,research",54.6,3,1
TASK-1304,Write feature for profile/ETL,"This task involves implementing a new feature related to profile. Expected steps: design, implementation.",2025-09-19 11:25:49,2025-09-29 11:25:49,27.9,33.0,,done,maintenance,high,38.06,ci,55.0,10,1
TASK-1305,Write refactor for payment/ETL,"This task involves updating a bug related to payment. Expected steps: design, implementation.",2025-09-03 03:02:15,2025-10-02 03:02:15,6.7,6.7,user_11,done,maintenance,high,32.15,"perf,research",9.1,29,1
TASK-1306,Implement feature for payment/dashboard feature,"This task involves fixing an API change related to payment. Expected steps: investigation, fix, release.",2025-09-11 18:24:09,2025-10-01 18:24:09,10.0,10.4,user_22,open,bug,high,31.44,"bugfix,security",50.8,20,1
TASK-1307,Research optimization for notifications/dashboard improvement,"This task involves researching performance improvement related to notifications. Expected steps: design, implementation.",2025-08-29 12:17:37,2025-09-06 12:17:37,2.3,3.2,user_1,done,maintenance,high,40.57,"docs,ci,backend",10.6,8,1
TASK-1308,Research doc update for reports/user profile improvement,"This task involves researching a new feature related to reports. Expected steps: write tests, refactor, deploy.",2025-09-05 17:52:17,2025-09-07 17:52:17,24.7,20.3,user_24,open,research,high,47.64,"ci,security,frontend",31.2,2,1
TASK-1309,Research feature for profile/login flow improvement,"This task involves refactoring an API change related to profile. Expected steps: write tests, refactor, deploy.",2025-09-23 02:43:31,2025-09-25 02:43:31,22.8,26.5,user_21,done,feature,high,35.52,"research,ci",27.7,2,1
TASK-1310,Research bug for database/reporting improvement,"This task involves updating an API change related to database. Expected steps: design, implementation.",2025-09-07 12:08:39,2025-09-28 12:08:39,18.6,17.5,user_4,open,research,high,36.41,"security,bugfix,db",24.8,21,1
TASK-1311,Research optimization for auth/dashboard improvement,"This task involves refactoring a new feature related to auth. Expected steps: write tests, refactor, deploy.",2025-08-27 07:17:48,2025-09-07 07:17:48,28.0,26.2,,blocked,bug,high,44.56,"perf,api,backend",31.4,11,1
TASK-1312,Research feature for analytics/reporting improvement,"This task involves researching an API change related to analytics. Expected steps: write tests, refactor, deploy.",2025-08-25 21:58:47,2025-08-31 21:58:47,36.6,48.7,user_22,done,feature,high,53.16,frontend,25.2,6,1
TASK-1313,Write feature for profile/schema,"This task involves fixing a new feature related to profile. Expected steps: design, implementation.",2025-08-24 16:54:40,2025-09-18 16:54:40,10.9,13.6,user_28,in_progress,bug,high,37.72,"docs,ci",35.3,25,1
TASK-1314,Research optimization for profile/search ranking improvement,"This task involves fixing an API change related to profile. Expected steps: analysis, design, implementation, testing.",2025-08-31 22:33:39,2025-09-18 22:33:39,11.8,14.7,user_27,blocked,bug,high,35.78,api,2.2,18,1
TASK-1315,Fix doc update in reports/reporting module,"This task involves writing a bug related to reports. Expected steps: analysis, design, implementation, testing.",2025-08-27 20:45:59,2025-09-02 20:45:59,7.3,10.2,user_22,in_progress,research,high,44.82,"bugfix,perf,api",55.9,6,1
TASK-1316,Fix doc update in database/email flow module,"This task involves researching a bug related to database. Expected steps: write tests, refactor, deploy.",2025-09-18 21:33:01,2025-09-21 21:33:01,12.4,12.5,user_23,done,documentation,high,36.12,"docs,ci,frontend",6.6,3,1
TASK-1317,Update optimization documentation for analytics/checkout,"This task involves updating an API change related to analytics. Expected steps: investigation, fix, release.",2025-09-06 09:50:45,2025-10-04 09:50:45,13.3,16.0,user_20,open,feature,high,30.73,"security,perf",29.6,28,1
TASK-1318,Implement doc update for reports/endpoint feature,"This task involves implementing a bug related to reports. Expected steps: analysis, design, implementation, testing.",2025-08-25 07:38:16,2025-09-15 07:38:16,32.1,29.1,user_7,blocked,maintenance,high,42.99,"api,security",48.4,21,1
TASK-1319,Implement doc update for auth/endpoint feature,"This task involves writing a bug related to auth. Expected steps: investigation, fix, release.",2025-09-02 14:34:18,2025-09-20 14:34:18,13.6,14.9,user_22,open,maintenance,high,37.84,"frontend,bugfix,docs",19.8,18,1
TASK-1320,Write bug for profile/user profile,"This task involves updating a new feature related to profile. Expected steps: write tests, refactor, deploy.",2025-08-29 06:14:44,2025-09-13 06:14:44,35.8,34.4,user_11,in_progress,maintenance,high,47.3,security,18.0,15,1
TASK-1321,Update refactor documentation for notifications/ETL,"This task involves fixing a new feature related to notifications. Expected steps: investigation, fix, release.",2025-09-17 14:01:58,2025-10-16 14:01:58,32.0,32.9,user_5,open,bug,high,27.1,"security,bugfix",34.3,29,1
TASK-1322,Research bug for UI/reporting improvement,"This task involves writing documentation related to UI. Expected steps: analysis, design, implementation, testing.",2025-09-01 17:50:44,2025-09-04 17:50:44,20.4,24.0,user_15,blocked,documentation,high,44.66,"bugfix,backend",22.5,3,1
TASK-1323,Fix optimization in API/checkout module,"This task involves refactoring a bug related to API. Expected steps: write tests, refactor, deploy.",2025-09-20 17:56:08,2025-09-25 17:56:08,8.4,6.3,,in_progress,research,high,32.23,"bugfix,backend",49.3,5,1
TASK-1324,Refactor bug in UI/endpoint,"This task involves researching performance improvement related to UI. Expected steps: analysis, design, implementation, testing.",2025-08-24 17:19:35,2025-09-23 17:19:35,2.7,4.4,user_28,open,maintenance,high,34.99,security,46.0,30,1
TASK-1325,Update refactor documentation for database/login flow,"This task involves writing a new feature related to database. Expected steps: investigation, fix, release.",2025-08-30 14:46:02,2025-09-09 14:46:02,11.8,8.2,user_15,in_progress,documentation,high,40.11,"backend,frontend",57.5,10,1
TASK-1326,Refactor feature in analytics/checkout,"This task involves refactoring documentation related to analytics. Expected steps: investigation, fix, release.",2025-09-01 17:31:29,2025-09-24 17:31:29,32.4,20.6,user_6,open,research,high,40.44,"perf,frontend,bugfix",1.7,23,1
TASK-1327,Update optimization documentation for auth/checkout,"This task involves fixing a bug related to auth. Expected steps: write tests, refactor, deploy.",2025-09-05 08:32:51,2025-09-28 08:32:51,24.2,32.6,user_27,in_progress,maintenance,high,35.92,"api,docs",42.8,23,1
TASK-1328,Update optimization documentation for analytics/checkout,"This task involves refactoring a new feature related to analytics. Expected steps: analysis, design, implementation, testing.",2025-09-17 23:37:12,2025-10-17 23:37:12,28.2,34.9,user_10,in_progress,maintenance,high,25.99,bugfix,51.7,30,1
TASK-1329,Refactor optimization in database/email flow,"This task involves implementing documentation related to database. Expected steps: investigation, fix, release.",2025-09-07 04:43:52,2025-09-08 04:43:52,3.5,4.2,user_16,in_progress,feature,high,40.11,"ci,bugfix",30.5,1,1
TASK-1330,Research refactor for payment/email flow improvement,"This task involves updating a bug related to payment. Expected steps: investigation, fix, release.",2025-09-09 13:56:39,2025-09-22 13:56:39,24.0,28.5,user_8,in_progress,maintenance,high,37.72,"docs,db",47.1,13,1
TASK-1331,Research refactor for reports/email flow improvement,"This task involves updating a new feature related to reports. Expected steps: design, implementation.",2025-09-13 11:26:53,2025-09-16 11:26:53,29.8,29.7,user_27,in_progress,research,high,42.94,"security,backend",49.3,3,1
TASK-1332,Implement bug for database/search ranking feature,"This task involves refactoring a bug related to database. Expected steps: write tests, refactor, deploy.",2025-09-03 10:06:04,2025-09-24 10:06:04,26.7,19.5,user_27,open,research,high,39.86,"frontend,bugfix,security",27.2,21,1
TASK-1333,Write refactor for search/reporting,"This task involves researching a new feature related to search. Expected steps: design, implementation.",2025-09-14 01:03:34,2025-09-25 01:03:34,12.7,13.0,user_22,open,maintenance,high,35.63,"backend,frontend",36.7,11,1
TASK-1334,Refactor doc update in search/dashboard,"This task involves fixing documentation related to search. Expected steps: analysis, design, implementation, testing.",2025-08-24 14:58:28,2025-09-11 14:58:28,33.0,26.3,user_28,open,bug,high,43.78,"ci,db,api",42.7,18,1
TASK-1335,Research refactor for search/search ranking improvement,"This task involves implementing a new feature related to search. Expected steps: write tests, refactor, deploy.",2025-08-28 18:29:49,2025-09-15 18:29:49,16.0,20.7,,blocked,feature,high,38.64,"bugfix,ci,frontend",4.3,18,1
TASK-1336,Fix optimization in UI/user profile module,"This task involves implementing a bug related to UI. Expected steps: design, implementation.",2025-09-12 20:46:56,2025-09-26 20:46:56,34.5,33.0,,in_progress,maintenance,high,38.52,"security,db",33.1,14,1
TASK-1337,Research feature for search/email flow improvement,"This task involves implementing performance improvement related to search. Expected steps: analysis, design, implementation, testing.",2025-09-10 22:28:59,2025-10-08 22:28:59,29.5,22.2,user_9,in_progress,research,high,31.28,frontend,34.1,28,1
TASK-1338,Update refactor documentation for notifications/checkout,"This task involves researching a bug related to notifications. Expected steps: design, implementation.",2025-09-15 12:06:03,2025-10-02 12:06:03,39.4,35.6,,blocked,maintenance,high,36.46,"ci,backend,docs",28.3,17,1
TASK-1339,Update refactor documentation for payment/ETL,"This task involves writing an API change related to payment. Expected steps: analysis, design, implementation, testing.",2025-09-20 16:56:55,2025-10-08 16:56:55,31.4,35.3,user_17,done,research,high,32.45,"api,research",17.4,18,1
TASK-1340,Fix refactor in reports/schema module,"This task involves writing a bug related to reports. Expected steps: write tests, refactor, deploy.",2025-09-10 22:37:44,2025-09-29 22:37:44,3.0,2.5,,blocked,research,high,27.74,"backend,bugfix",30.3,19,1
TASK-1341,Write refactor for database/dashboard,"This task involves writing documentation related to database. Expected steps: investigation, fix, release.",2025-08-25 00:35:36,2025-08-29 00:35:36,24.5,18.5,,in_progress,maintenance,high,49.75,research,47.0,4,1
TASK-1342,Implement refactor for profile/dashboard feature,"This task involves fixing documentation related to profile. Expected steps: analysis, design, implementation, testing.",2025-09-22 14:51:22,2025-10-12 14:51:22,37.4,40.1,user_16,blocked,maintenance,high,31.83,perf,43.6,20,1
TASK-1343,Implement doc update for API/reporting feature,"This task involves fixing documentation related to API. Expected steps: analysis, design, implementation, testing.",2025-08-26 04:11:02,2025-09-10 04:11:02,16.6,17.8,user_24,done,research,high,41.49,"db,perf,research",8.7,15,1
